"NAME","NAMEHCR","STALP","STNAME","BKCLASS","ASSET","CERT","FED_RSSD","org_name","commented","Commented","mean_ASSET","median_ASSET","mean_ASSET_type","median_ASSET_type"
"Lanier Community Bank",NA,"GA","Georgia","NM",113265000,57486,3140260,"lanier community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Xenith Bank",NA,"VA","Virginia","SM",1070637000,57487,3153288,"xenith bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Metropolitan Capital Bank & Trust","Metropolitan Capital Bancorp, Inc.","IL","Illinois","NM",256943000,57488,3153233,"metropolitan capital bank & trust",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Bank of Commerce","Commerce Bancorp, Inc.","OK","Oklahoma","NM",286071000,57491,3134698,"bank of commerce",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Berkshire Bank",NA,"PA","Pennsylvania","NM",137093000,57492,3115277,"berkshire bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Merchants Bank, National Association",NA,"MN","Minnesota","N",95953000,57493,3132667,"merchants bank, national association",FALSE,"Did not comment",915546343.628809,95742500,1913680837.6184,95400500
"Capital Bank of Texas",NA,"TX","Texas","NM",70556000,57495,3134399,"capital bank of texas",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Pathfinder Bank","Pathfinder Bancorp, Inc.","NY","New York","NM",801465000,57497,729310,"pathfinder bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Country Bank",NA,"AZ","Arizona","NM",217365000,57498,3165599,"country bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"MarinerBank",NA,"WA","Washington","NM",54031000,57499,3156122,"marinerbank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Fox River State Bank","Fox River Financial Corporation","WI","Wisconsin","NM",87090000,57504,3188712,"fox river state bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Liberty National Bank","Liberty Financial Services, Inc.","IA","Iowa","N",373727000,57505,3140822,"liberty national bank",TRUE,"Commented",2565978874.81297,145717500,8836714015.10574,126448000
"Mountain State Bank",NA,"GA","Georgia","NM",166287000,57507,3156300,"mountain state bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"New West Bank",NA,"CO","Colorado","NM",175179000,57508,3138182,"new west bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Avidbank","Avidbank Holdings, Inc.","CA","California","NM",701946000,57510,3214059,"avidbank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Community First Bank of Indiana","Community First Financial Corporation","IN","Indiana","NM",224352000,57511,3165357,"community first bank of indiana",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Western Alliance Bank","Western Alliance Bancorporation","AZ","Arizona","SM",18019409000,57512,3138146,"western alliance bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Willamette Community Bank",NA,"OR","Oregon","NM",107510000,57513,3187395,"willamette community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"First Bank of Charleston, Inc.",NA,"WV","West Virginia","NM",195645000,57514,3189634,"first bank of charleston, inc.",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Fidelity & Trust Bank",NA,"MD","Maryland","SM",461029000,57519,3211768,"fidelity & trust bank",FALSE,"Did not comment",915546343.628809,95742500,980466077.890663,131926000
"Georgia Commerce Bank",NA,"GA","Georgia","NM",1074665000,57521,3165320,"georgia commerce bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Tolleson Private Bank","Tolleson Wealth Management, Inc.","TX","Texas","NM",627922000,57522,3166699,"tolleson private bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"First Priority Bank",NA,"FL","Florida","NM",258610000,57523,3225411,"first priority bank",TRUE,"Commented",2565978874.81297,145717500,641822054.95921,124850000
"Liberty Bell Bank",NA,"NJ","New Jersey","NM",149872000,57524,3205253,"liberty bell bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Riverview Community Bank",NA,"MN","Minnesota","NM",99057000,57525,3150586,"riverview community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Capmark Bank",NA,"UT","Utah","NM",120457000,57529,3181197,"capmark bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"Grand Mountain Bank, FSB",NA,"CO","Colorado","SA",102341000,57531,3148033,"grand mountain bank, fsb",FALSE,"Did not comment",915546343.628809,95742500,849658148.500577,128373500
"The Express Bank of Texas",NA,"TX","Texas","NM",42843000,57532,3193501,"the express bank of texas",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
"California Community Bank",NA,"CA","California","NM",235992000,57533,3206399,"california community bank",FALSE,"Did not comment",915546343.628809,95742500,308219658.15737,76186000
